,classifier,tr_precision_avg,tr_recall_avg,tr_f1_avg,te_precision_avg,te_recall_avg,te_f1_avg,Tf_CV_Avg,au_ROC_avg,au_PR_avg,Loo_CV
0,LogR,0.973,0.96,0.966,0.968,0.953,0.96,0.969,0.987,0.979,0.97
1,gNB,0.879,0.634,0.647,0.852,0.613,0.618,0.779,0.967,0.934,0.767
2,SVM,0.978,0.976,0.977,0.972,0.965,0.968,0.974,0.994,0.978,0.975
3,DT,0.997,0.995,0.997,0.962,0.95,0.956,0.964,0.953,0.948,0.966
4,RF,0.994,0.989,0.991,0.962,0.944,0.952,0.96,0.978,0.972,0.963
5,KNN,0.963,0.924,0.941,0.954,0.906,0.926,0.939,0.958,0.959,0.942
6,LDA,0.991,0.985,0.988,0.971,0.956,0.963,0.971,0.986,0.975,0.972
7,mNB,0.913,0.939,0.924,0.909,0.933,0.92,0.933,0.98,0.958,0.934
8,ABC,0.97,0.959,0.964,0.962,0.947,0.954,0.962,0.982,0.971,0.96
9,GBC,0.975,0.965,0.97,0.966,0.953,0.959,0.966,0.982,0.974,0.969
10,ETC,0.997,0.995,0.997,0.964,0.953,0.958,0.966,0.978,0.972,0.967
11,BC,0.993,0.988,0.991,0.967,0.956,0.961,0.967,0.974,0.97,0.969
