,a classifier,au ROC 1,a classifier,au ROC 2,a classifier,au ROC 3,a classifier,au ROC 4,a classifier,au ROC 5,a classifier,au ROC 6
0,LogR,0.972,LogR,0.988,LogR,0.967,LogR,0.975,LogR,0.99,LogR,0.984
1,gNB,0.967,gNB,0.981,gNB,0.96,gNB,0.972,gNB,0.978,gNB,0.981
2,SVM,0.948,SVM,0.974,SVM,0.973,SVM,0.969,SVM,0.979,SVM,0.982
3,DT,0.937,DT,0.944,DT,0.925,DT,0.932,DT,0.974,DT,0.975
4,RF,0.959,RF,0.968,RF,0.963,RF,0.967,RF,0.986,RF,0.977
5,KNN,0.947,KNN,0.958,KNN,0.95,KNN,0.952,KNN,0.98,KNN,0.964
6,LDA,0.973,LDA,0.988,LDA,0.963,LDA,0.975,LDA,0.99,LDA,0.985
7,mNB,0.936,mNB,0.953,mNB,0.94,mNB,0.958,mNB,0.964,mNB,0.954
8,ABC,0.973,ABC,0.987,ABC,0.965,ABC,0.974,ABC,0.989,ABC,0.981
9,GBC,0.973,GBC,0.988,GBC,0.968,GBC,0.977,GBC,0.987,GBC,0.985
10,ETC,0.959,ETC,0.957,ETC,0.947,ETC,0.945,ETC,0.98,ETC,0.975
11,BC,0.96,BC,0.968,BC,0.959,BC,0.959,BC,0.983,BC,0.977
