,classifier,tr_precision1,tr_recall1,tr_f1 1,classifier,tr_precision2,tr_recall2,tr_f1 2,classifier,tr_precision3,tr_recall3,tr_f1 3,classifier,tr_precision4,tr_recall4,tr_f1 4,classifier,tr_precision5,tr_recall5,tr_f1 5,classifier,tr_precision6,tr_recall6,tr_f1 6
0,LogR,0.961,0.943,0.951,LogR,0.959,0.938,0.948,LogR,0.962,0.946,0.953,LogR,0.958,0.938,0.948,LogR,0.962,0.942,0.952,LogR,0.958,0.939,0.948
1,gNB,0.939,0.942,0.94,gNB,0.935,0.937,0.936,gNB,0.942,0.944,0.943,gNB,0.935,0.938,0.937,gNB,0.941,0.939,0.94,gNB,0.936,0.939,0.937
2,SVM,0.965,0.96,0.963,SVM,0.964,0.952,0.957,SVM,0.966,0.957,0.961,SVM,0.964,0.955,0.959,SVM,0.965,0.954,0.959,SVM,0.962,0.955,0.958
3,DT,0.974,0.961,0.967,DT,0.974,0.957,0.965,DT,0.973,0.961,0.967,DT,0.972,0.96,0.966,DT,0.972,0.956,0.964,DT,0.971,0.958,0.964
4,RF,0.972,0.961,0.967,RF,0.97,0.959,0.964,RF,0.973,0.961,0.966,RF,0.97,0.961,0.965,RF,0.97,0.958,0.963,RF,0.97,0.957,0.963
5,KNN,0.956,0.94,0.948,KNN,0.951,0.935,0.942,KNN,0.956,0.937,0.946,KNN,0.954,0.939,0.946,KNN,0.956,0.932,0.943,KNN,0.957,0.935,0.945
6,LDA,0.961,0.924,0.94,LDA,0.959,0.916,0.934,LDA,0.96,0.918,0.936,LDA,0.959,0.92,0.937,LDA,0.96,0.917,0.935,LDA,0.957,0.913,0.932
7,mNB,0.943,0.932,0.937,mNB,0.94,0.929,0.934,mNB,0.944,0.934,0.939,mNB,0.938,0.926,0.932,mNB,0.943,0.931,0.937,mNB,0.94,0.928,0.934
8,ABC,0.962,0.941,0.951,ABC,0.958,0.934,0.945,ABC,0.965,0.947,0.955,ABC,0.957,0.936,0.946,ABC,0.961,0.938,0.948,ABC,0.957,0.937,0.946
9,GBC,0.967,0.957,0.962,GBC,0.964,0.95,0.957,GBC,0.965,0.955,0.96,GBC,0.965,0.953,0.959,GBC,0.964,0.952,0.957,GBC,0.962,0.952,0.957
10,ETC,0.974,0.961,0.967,ETC,0.974,0.957,0.965,ETC,0.973,0.961,0.967,ETC,0.972,0.96,0.966,ETC,0.972,0.956,0.964,ETC,0.971,0.958,0.964
11,BC,0.97,0.963,0.967,BC,0.971,0.958,0.964,BC,0.97,0.962,0.966,BC,0.969,0.962,0.966,BC,0.968,0.957,0.962,BC,0.968,0.96,0.964
