,classifier,ten_f_CV1,classifier,ten_f_CV2,classifier,ten_f_CV3,classifier,ten_f_CV4,classifier,ten_f_CV5,classifier,ten_f_CV6
0,LogR,0.778,LogR,0.783,LogR,0.782,LogR,0.782,LogR,0.786,LogR,0.781
1,gNB,0.745,gNB,0.744,gNB,0.745,gNB,0.746,gNB,0.747,gNB,0.746
2,SVM,0.78,SVM,0.785,SVM,0.784,SVM,0.786,SVM,0.79,SVM,0.785
3,DT,0.777,DT,0.783,DT,0.783,DT,0.785,DT,0.789,DT,0.783
4,RF,0.778,RF,0.784,RF,0.784,RF,0.785,RF,0.789,RF,0.783
5,KNN,0.766,KNN,0.772,KNN,0.768,KNN,0.777,KNN,0.702,KNN,0.765
6,LDA,0.779,LDA,0.784,LDA,0.783,LDA,0.784,LDA,0.787,LDA,0.782
7,mNB,0.77,mNB,0.782,mNB,0.765,mNB,0.777,mNB,0.779,mNB,0.765
8,ABC,0.779,ABC,0.784,ABC,0.783,ABC,0.784,ABC,0.787,ABC,0.783
9,GBC,0.778,GBC,0.783,GBC,0.782,GBC,0.783,GBC,0.789,GBC,0.783
10,ETC,0.777,ETC,0.783,ETC,0.783,ETC,0.785,ETC,0.789,ETC,0.783
11,BC,0.778,BC,0.784,BC,0.784,BC,0.785,BC,0.788,BC,0.782
